"game_id","Date","home_team_id","away_team_id","home_score","away_score"
"eVq3Jy9w5W",2020-10-03,"kRQabn8MKZ","9z5k7Yg5A3",2,1
"jYQJlg4d5G",2020-10-03,"19vQ2095K6","vzqoOgNqap",0,0
"raMyYeOeMd",2020-10-03,"APk5LGOMOW","X0Oq66zq6D",2,2
"gjMN36aj5K",2020-10-03,"EKXMeX3Q64","KAqBN0Vqbg",0,4
"Oa5wXd3Wq1",2020-10-03,"jYQJ8EW5GR","a2lqRX2Mr0",3,1
"315Vo7vXq9",2020-09-28,"kaDQ0wRqEv","jYQJ19EqGR",1,3
"EGMPWRzkQa",2020-09-28,"eVq3ya6MWO","0KPqjA456v",1,2
"9z5kK3va5A",2020-09-28,"lgpMOvnQzy","WBLMvYAQxe",0,1
"2lqRG7w4Qr",2020-09-28,"mKAqBBmqbg","jYQJ8EW5GR",0,0
"vzqo2J0p5a",2020-09-28,"kRQand1MKZ","a2lqR4JMr0",0,0
"0Oq6BLGPq6",2020-09-27,"X0Oq66zq6D","KAqBN0Vqbg",2,0
"gOMnXYxeqw",2020-09-27,"kRQabn8MKZ","mvzqoLZQap",3,1
"gpMOBejyQz",2020-09-27,"9z5k7Yg5A3","zeQZkL1MKw",3,0
"0x5gXWrmq7",2020-09-27,"EKXMeX3Q64","19vQ2095K6",0,2
